,CPI,export,import,label
2003-04-30,0.037000000000000005,0.192,0.17500000000000002,1.0
2003-05-31,0.032,0.035,0.065,1.0
2003-06-30,0.03,0.214,0.125,1.0
2003-07-31,0.032,0.152,0.14300000000000002,1.0
2003-08-31,0.03,0.10099999999999999,0.053,1.0
2003-09-30,0.033,0.22399999999999998,0.11900000000000001,1.0
2003-10-31,0.037000000000000005,0.255,0.197,1.0
2003-11-30,0.034,0.2,0.126,1.0
2003-12-31,0.034,0.313,0.22,1.0
2004-01-31,0.034,0.326,0.11800000000000001,1.0
2004-02-29,0.033,0.435,0.261,1.0
2004-03-31,0.031000000000000003,0.37700000000000006,0.20500000000000002,1.0
2004-04-30,0.033,0.36700000000000005,0.276,1.0
2004-05-31,0.033,0.42,0.32299999999999995,1.0
2004-06-30,0.036000000000000004,0.383,0.381,1.0
2004-07-31,0.044000000000000004,0.36100000000000004,0.23399999999999999,0.0
2004-08-31,0.048,0.28800000000000003,0.33799999999999997,0.0
2004-09-30,0.039,0.22399999999999998,0.252,1.0
2004-10-31,0.038,0.197,0.23399999999999999,1.0
2004-11-30,0.033,0.265,0.289,1.0
2004-12-31,0.03,0.17600000000000002,0.19,1.0
2005-01-31,0.034,0.18300000000000002,0.2,1.0
2005-02-28,0.034,0.066,0.053,1.0
2005-03-31,0.03,0.131,0.19100000000000003,1.0
2005-04-30,0.031000000000000003,0.065,0.128,1.0
2005-05-31,0.031000000000000003,0.11,0.18300000000000002,1.0
2005-06-30,0.027999999999999997,0.095,0.14800000000000002,1.0
2005-07-31,0.026000000000000002,0.106,0.17,1.0
2005-08-31,0.02,0.179,0.214,1.0
2005-09-30,0.025,0.177,0.249,1.0
2005-10-31,0.023,0.11900000000000001,0.11,1.0
2005-11-30,0.025,0.11900000000000001,0.174,1.0
2005-12-31,0.026000000000000002,0.105,0.154,1.0
2006-01-31,0.022000000000000002,0.036000000000000004,0.187,1.0
2006-02-28,0.02,0.166,0.278,1.0
2006-03-31,0.02,0.121,0.139,1.0
2006-04-30,0.02,0.11900000000000001,0.153,1.0
2006-05-31,0.023,0.20800000000000002,0.239,1.0
2006-06-30,0.024,0.179,0.222,1.0
2006-07-31,0.024,0.109,0.188,1.0
2006-08-31,0.027000000000000003,0.16899999999999998,0.22899999999999998,1.0
2006-09-30,0.025,0.209,0.21600000000000003,1.0
2006-10-31,0.022000000000000002,0.105,0.131,1.0
2006-11-30,0.021,0.185,0.122,1.0
2006-12-31,0.021,0.12300000000000001,0.138,1.0
2007-01-31,0.017,0.20800000000000002,0.195,1.0
2007-02-28,0.022000000000000002,0.10300000000000001,0.079,1.0
2007-03-31,0.022000000000000002,0.132,0.127,1.0
2007-04-30,0.025,0.17,0.20600000000000002,1.0
2007-05-31,0.023,0.11199999999999999,0.136,1.0
2007-06-30,0.025,0.145,0.095,1.0
2007-07-31,0.025,0.172,0.14400000000000002,1.0
2007-08-31,0.02,0.136,0.09699999999999999,1.0
2007-09-30,0.023,-0.011000000000000001,-0.016,2.0
2007-10-31,0.03,0.22899999999999998,0.278,1.0
2007-11-30,0.035,0.17,0.268,1.0
2007-12-31,0.036000000000000004,0.14800000000000002,0.23199999999999998,1.0
2008-01-31,0.039,0.149,0.317,1.0
2008-02-29,0.036000000000000004,0.189,0.284,1.0
2008-03-31,0.039,0.184,0.267,1.0
2008-04-30,0.040999999999999995,0.264,0.29300000000000004,0.0
2008-05-31,0.049,0.269,0.29600000000000004,0.0
2008-06-30,0.055,0.16399999999999998,0.327,0.0
2008-07-31,0.059000000000000004,0.35600000000000004,0.47000000000000003,0.0
2008-08-31,0.055999999999999994,0.18100000000000002,0.364,0.0
2008-09-30,0.051,0.276,0.454,0.0
2008-10-31,0.048,0.078,0.10300000000000001,0.0
2008-11-30,0.045,-0.195,-0.15,3.0
2008-12-31,0.040999999999999995,-0.179,-0.21600000000000003,3.0
2009-01-31,0.037000000000000005,-0.34500000000000003,-0.314,2.0
2009-02-28,0.040999999999999995,-0.185,-0.308,3.0
2009-03-31,0.039,-0.225,-0.35600000000000004,2.0
2009-04-30,0.036000000000000004,-0.19899999999999998,-0.35000000000000003,2.0
2009-05-31,0.027000000000000003,-0.294,-0.395,2.0
2009-06-30,0.02,-0.136,-0.321,2.0
2009-07-31,0.016,-0.22100000000000003,-0.35600000000000004,2.0
