,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
327,032350,KR7032350001,롯데관광개발,KOSPI,,10580,1,20,0.19,10560,10680,10420,239328,2532982880,780408932220,73762659,STK
328,348210,KR7348210006,넥스틴,KOSDAQ GLOBAL,우량기업부,75700,1,200,0.26,75500,76100,74000,59481,4450375200,771903664600,10196878,KSQ
329,084370,KR7084370006,유진테크,KOSDAQ GLOBAL,우량기업부,33200,2,-50,-0.15,32800,33500,32650,102712,3387960050,760812594400,22916042,KSQ
330,192080,KR7192080000,더블유게임즈,KOSPI,,41650,1,150,0.36,41250,41950,41200,11278,468049150,757645029050,18190757,STK
331,009450,KR7009450008,경동나비엔,KOSPI,,51400,1,300,0.59,50800,52200,50800,24976,1281432500,748825628800,14568592,STK
332,268280,KR7268280005,미원에스씨,KOSPI,,145600,1,1800,1.25,144000,147000,143900,178,25815600,742560000000,5100000,STK
333,064960,KR7064960008,SNT모티브,KOSPI,,50400,2,-2700,-5.08,52500,52600,49700,79414,3998919200,737006054400,14623136,STK
334,085660,KR7085660009,차바이오텍,KOSDAQ,벤처기업부,13090,2,-30,-0.23,13010,13210,13000,119644,1567300190,736552282620,56268318,KSQ
335,105630,KR7105630008,한세실업,KOSPI,,18390,1,290,1.6,18100,18430,17920,56793,1033708300,735600000000,40000000,STK
336,078340,KR7078340007,컴투스,KOSDAQ,우량기업부,56800,1,1600,2.9,55600,57200,55000,83090,4694305300,730812656000,12866420,KSQ
337,046890,KR7046890000,서울반도체,KOSDAQ GLOBAL,우량기업부,12350,1,10,0.08,12350,12440,12200,315345,3887682200,720071690000,58305400,KSQ
338,114190,KR7114190002,강원에너지,KOSDAQ,중견기업부,27550,2,-200,-0.72,27800,28250,26700,522972,14392721350,719689696900,26123038,KSQ
339,003090,KR7003090008,대웅,KOSPI,,12250,2,-10,-0.08,12260,12440,12110,36735,450186570,712239255000,58141980,STK
340,360070,KR7360070007,탑머티리얼,KOSDAQ,벤처기업부,88600,1,1600,1.84,90000,95600,88100,479057,43684620500,707412789800,7984343,KSQ
