iter	MultiClass
711	0.4583697844
712	0.4577262938
713	0.4573154615
714	0.4567363592
715	0.4561504746
716	0.4556031043
717	0.4551979253
718	0.4547365989
719	0.4541631102
720	0.4536928984
721	0.4532668304
722	0.4528259447
723	0.4522923579
724	0.451822442
725	0.4513566235
726	0.4507231627
727	0.4504213812
728	0.4498422323
729	0.4493311479
730	0.4488184551
731	0.4482586513
732	0.4476945302
733	0.4471853071
734	0.4466438781
735	0.4462131384
736	0.4458976256
737	0.4454150707
738	0.4449098212
739	0.4442681905
740	0.4437584204
741	0.4431641534
742	0.4426004603
743	0.4421032116
744	0.441490034
745	0.4408737045
746	0.4403482789
747	0.4397946549
748	0.4394374116
749	0.4389435646
750	0.4384949663
751	0.4380847633
752	0.4376162899
753	0.4372301151
754	0.4367035436
755	0.4362170401
756	0.4356738198
757	0.4353122556
758	0.4347579329
759	0.4342307198
760	0.4337400621
761	0.4333676675
762	0.4329420337
763	0.4324901355
764	0.432023412
765	0.4316457648
766	0.4311557025
767	0.4308000574
768	0.4303107307
769	0.4296783154
770	0.4292223911
771	0.4288299473
772	0.4283608991
773	0.4279544653
774	0.4276783323
775	0.4273181706
776	0.4269615451
777	0.426621249
778	0.4261244256
779	0.4256808617
780	0.4252943317
781	0.4248594533
782	0.4243923217
783	0.4239600833
784	0.4235028415
785	0.4229459187
786	0.4224485953
787	0.4219940987
788	0.4216412335
789	0.4212347172
790	0.4208254394
791	0.4203237671
792	0.4198947894
793	0.4194946762
794	0.4189817364
795	0.4185471694
796	0.4182113142
797	0.4177242492
798	0.4173421688
799	0.416806686
800	0.4164329011
801	0.416054035
802	0.4155416235
803	0.4152276521
804	0.4148771827
805	0.4144419753
806	0.4139763633
807	0.4135693094
808	0.4131755701
809	0.4128416106
810	0.4125526097
811	0.4121942843
812	0.4117120216
813	0.4112398646
814	0.4109642131
815	0.4105258765
816	0.4101693724
817	0.4097159765
818	0.4092520362
819	0.4086797937
820	0.4083223092
821	0.4080224033
822	0.4075778987
823	0.4070787774
824	0.4066790465
825	0.4063041288
826	0.4059096321
827	0.4055226856
828	0.4050602746
829	0.4045582488
830	0.4042154369
831	0.4037551727
832	0.4033304362
833	0.4029977489
834	0.4025897095
835	0.4021675278
836	0.4018298004
837	0.401468599
838	0.4011233178
839	0.4007119193
840	0.4004232144
841	0.399898539
842	0.3995879601
843	0.3991002362
844	0.3986529533
845	0.3982627466
846	0.3979334093
847	0.3975334642
848	0.3971095776
849	0.3967408854
850	0.3964071786
851	0.3959934213
852	0.3955429203
853	0.3951956423
854	0.3947770528
855	0.3943304069
856	0.3938959553
857	0.3936789738
858	0.3933841847
859	0.3930947317
860	0.3928365798
861	0.3924875243
862	0.3921251749
863	0.3916577251
864	0.3912637479
865	0.3908804009
866	0.3905163047
867	0.3900595172
868	0.3896411686
869	0.389210714
870	0.3889831755
871	0.3886848342
872	0.3883800345
873	0.3880100956
874	0.3875851661
875	0.3872829711
876	0.3869862622
877	0.3866192071
878	0.3862216323
879	0.3859173243
880	0.3855472199
881	0.3852171825
882	0.3848184179
883	0.3843906192
884	0.3839209195
885	0.3835861637
886	0.3832332164
887	0.3828973015
888	0.3825342601
889	0.3820670203
890	0.3817602871
891	0.3814053905
892	0.3810107011
893	0.38052994
894	0.3800544638
895	0.379762834
896	0.3793549514
897	0.3789984422
898	0.3787070012
899	0.3782997474
900	0.3780448111
901	0.3776885134
902	0.3772908517
903	0.3769605019
904	0.3766323121
905	0.3763104656
906	0.3758358434
907	0.3755378313
908	0.3751647774
909	0.3748907055
910	0.3745005937
911	0.374092598
912	0.3736343037
913	0.373308638
914	0.3729452237
915	0.3724351788
916	0.372151282
917	0.3717248797
918	0.3713068686
919	0.3710587767
920	0.3707068121
921	0.3703172234
922	0.3699214737
923	0.3696519593
924	0.3693433373
925	0.3688422796
926	0.3685493218
927	0.3681305677
928	0.36777956
929	0.3674451714
930	0.3672318856
931	0.3668142965
932	0.3665228134
933	0.3660464434
934	0.3658012911
935	0.3654347994
936	0.3650790124
937	0.3646240109
938	0.3643621907
939	0.363980959
940	0.3636285386
941	0.3633547895
942	0.3630888484
943	0.3627382769
944	0.362431819
945	0.3620919823
946	0.3618099286
947	0.3614474461
948	0.3610886984
949	0.3608328387
950	0.3605053374
951	0.3602252718
952	0.3599145667
953	0.3595452448
954	0.3593302611
955	0.358989242
956	0.3586535489
957	0.3584629143
958	0.358211439
959	0.3579455602
960	0.3575689809
961	0.3571799795
962	0.3568270084
963	0.3565746277
964	0.3560969687
965	0.3557844873
966	0.3554734416
967	0.3552458964
968	0.3547713421
969	0.3544655105
970	0.3541762664
971	0.3538033056
972	0.3534588968
973	0.3531271321
974	0.3528086959
975	0.3525310913
976	0.3523138339
977	0.3519812928
978	0.3516434258
979	0.3513169948
980	0.3508217588
981	0.3504020046
982	0.350138731
983	0.3498450621
984	0.3496228691
985	0.3493647928
986	0.3490363106
987	0.3487151524
988	0.3484267348
989	0.3481172881
990	0.3478861091
991	0.3475817531
992	0.3473675894
993	0.3471104
994	0.3468339335
995	0.346507927
996	0.3462365949
997	0.3458531411
998	0.3454818748
999	0.3452504894
